show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,total_views,unique_viewers,avg_watch_time_minutes,completion_rate,likes,shares,avg_rating_by_users,watch_sessions,stickiness_score,subscription_uplift_rate,favored_device,first_content_for_new_users_flag,peak_viewing_hour,peak_viewing_region
s1,Movie,Haunted Nights 1,Fatima Khan,"Actor 1, Actress 1",Japan,2020-08-22,2016,PG-13,87 min,Action,Sample description 1,66209,40831,89.1,0.88,9188,6301,2.8,47537,0.84,0.1,TV,0,9,Japan
s2,TV Show,Cooking Master 2,Fatima Khan,"Actor 2, Actress 2",United Kingdom,2022-01-22,2018,PG-13,74 min,Documentary,Sample description 2,111616,292739,88.3,0.36,18994,8953,2.7,17724,0.57,0.22,PC,0,8,United Kingdom
s3,Movie,Space Adventure 3,Li Wei,"Actor 3, Actress 3",Japan,2020-12-26,2008,TV-MA,3 Season(s),Romance,Sample description 3,441318,225433,90.2,0.85,37355,1501,2.5,22620,0.4,0.29,Tablet,0,14,United States
s4,TV Show,Wildlife Tales 4,Fatima Khan,"Actor 4, Actress 4",Canada,2023-03-04,2023,TV-MA,64 min,Horror,Sample description 4,196521,292702,47.9,0.53,5959,960,1.0,1026,0.34,0.08,PC,1,21,India
s5,TV Show,Cooking Master 5,Carlos Vega,"Actor 5, Actress 5",United Kingdom,2023-11-04,2011,TV-MA,1 Season(s),Documentary,Sample description 5,464161,238604,74.2,0.7,34462,2078,2.0,69556,0.13,0.07,PC,1,20,United Kingdom
s6,TV Show,Love in Paris 6,Jane Doe,"Actor 6, Actress 6",India,2020-11-17,2000,PG,4 Season(s),Action,Sample description 6,458639,37423,39.7,0.82,29827,9688,3.5,53044,0.17,0.22,PC,0,17,Canada
s7,TV Show,Love in Paris 7,Fatima Khan,"Actor 7, Actress 7",India,2020-01-27,2023,TV-MA,3 Season(s),Horror,Sample description 7,488478,255751,105.2,0.89,40081,2261,1.6,7336,0.29,0.12,TV,1,0,Japan
s8,Movie,Cooking Master 8,Li Wei,"Actor 8, Actress 8",Japan,2022-10-05,2013,TV-14,3 Season(s),Horror,Sample description 8,234040,50118,87.5,0.77,39665,643,1.7,8774,0.73,0.23,Tablet,1,20,United States
s9,TV Show,Cooking Master 9,Li Wei,"Actor 9, Actress 9",United States,2022-07-04,2009,PG,1 Season(s),Drama,Sample description 9,374935,137422,112.2,0.78,34998,8994,3.6,97588,0.55,0.29,TV,1,7,United Kingdom
s10,Movie,Cooking Master 10,Fatima Khan,"Actor 10, Actress 10",India,2022-09-21,2017,PG-13,3 Season(s),Horror,Sample description 10,90523,96694,112.0,0.76,37435,4623,4.7,86797,0.3,0.04,PC,0,4,Canada
